"COALINEA","NOALINEA"
"242251","Transferências de Convênios dos Estados destinadas a Programas de Educ"
"242254","Transferências de Convênios dos Estados destinadas a Programas de  Inf"
"242999","Outras Transferências de Recursos dos Estados                         "
"199911","Variação Cambial                                                      "
"121502","Contribuição Patronal - Servidor Civil                                "
"241401","Outras Transferências de Convênios da União e de Suas Entidades       "
"222101","Alienação de Bens Imóveis                                             "
"223100","Alienação de Bens Intangíveis                                         "
"231106","Amortização de Empréstimos Contratuais                                "
"179150","Transferências de Pessoas Físicas - Programas de Saúde                "
"163200","Serviços de Assistência à Saúde de Servidores Civis e Militares       "
"241954","Transferências de Recursos do Fundo Nacional de Segurança Pública - FN"
"171400","Transferências de Recursos do Fundo Nacional do Desenvolvimento da Edu"
"231103","Amortização de Empréstimos - Estados e Municípios                     "
"241451","Transferências de Convênios da União destinadas a Programas de Educaçã"
"163150","Serviços Hospitalares                                                 "
"171100","Transferências Decorrentes de Participação na Receita da União        "
"171154","Cota-Parte da Contribuição de Intervenção no Domínio Econômico        "
"176100","Transferências do Exterior                                            "
"176150","Transferência de Convênios do Exterior - Programas de Saúde           "
"179000","Demais Transferências Correntes                                       "
"191102","Multas Previstas na Lei Geral das Telecomunicações                    "
"171458","Transferências referentes ao Programa de Apoio a Aquisição de Equipame"
"171956","Transferências Decorrentes de Decisão Judicial (precatórios) Relativas"
"172252","Cota-parte Royalties - Compensação Financeira pela Produção do Petróle"
"176199","Outras Transferências de Convênios do Exterior - Não Especificadas Ant"
"179199","Outras Transferências de Pessoas Físicas                              "
"222100","Alienação de Bens Imóveis                                             "
"179200","Transferências Provenientes de Depósitos Não Identificados            "
"212999","Outras Operações de Crédito - Mercado Externo                         "
"291101","Integralização de Capital Social                                      "
"179151","Transferências de Pessoas Físicas - Programas de Educação             "
"179999","Outras Transferências Correntes                                       "
"174150","Transferências de Convênios de Instituições Privadas para Programas de"
"191101","Multas Previstas em Legislação Específica                             "
"191106","Multas por Danos Ambientais                                           "
"191103","Multas Previstas na Legislação do Seguro-Desemprego e Abono Salarial  "
"191105","Multas Previstas em Lei por Infrações no Setor de Energia Elétrica    "
"174101","Transferências de Instituições Privadas para Órgãos e Entidades da Uni"
"176101","Transferências do Exterior para Órgãos e Entidades da União           "
"179100","Transferências de Pessoas Físicas                                     "
"135104","Royalties pela Comercialização de Produtos Resultantes de Criação Prot"
"139900","Outras Receitas Patrimoniais                                          "
"223101","Alienação de Bens Intangíveis                                         "
"762102","Serviços de Transporte de Passageiros ou Mercadorias                  "
"231100","Amortização de Empréstimos                                            "
"231102","Amortização Proveniente da Execução de Garantia - Operações de Crédito"
"171650","Transferências de Recursos do Fundo Nacional de Assistência Social    "
"221101","Alienação de Títulos, Valores Mobiliários e Aplicações Congêneres Temp"
"791101","Multas Previstas em Legislação Específica                             "
"212255","Operações de Crédito Externas para Refinanciamento da Dívida Contratua"
"221301","Alienação de Bens Móveis e Semoventes                                 "
"171453","Transferências Diretas do FNDE referentes ao Programa Nacional de Apoi"
"172152","Cota-Parte do IPI - Municípios                                        "
"191108","Multas Decorrentes de Sentenças Judiciais                             "
"133399","Outras Delegações dos Serviços de Telecomunicação                     "
"124150","Contribuição para o Custeio do Serviço de Iluminação Pública          "
"131100","Exploração do Patrimônio Imobiliário do Estado                        "
"121101","Contribuição para Financiamento da Seguridade Social - COFINS sobre o "
"164100","Serviços e Atividades Financeiras                                     "
"221102","Alienação de Títulos, Valores Mobiliários e Aplicações Congêneres Perm"
"241454","Transferências de Convênios da União destinadas a Programas de Infraes"
"241950","Transferências da União a Consórcios Públicos                         "
"193100","Bens, Direitos e Valores Incorporados ao Patrimônio Público           "
"243200","Transferências de Convênios dos Municípios e de Suas Entidades        "
"243250","Transferências de Convênios dos Municípios destinados a Programas de S"
"193104","Prêmios Prescritos de Concursos de Prognósticos                       "
"731100","Exploração do Patrimônio Imobiliário do Estado                        "
"990000","Recursos Arrecadados em Exercícios Anteriores                         "
"900000","Recursos Arrecadados em Exercícios Anteriores                         "
"243999","Outras Transferências dos Municípios                                  "
"244101","Transferências de Instituições Privadas para Órgãos e Entidades da Uni"
"721551","Contribuição Patronal - Parcelamentos                                 "
"194199","Outras Multas e Juros de Mora de Alienações de Bens Móveis            "
"194201","Multas e Juros de Mora das Alienações de Bens Imóveis em Geral        "
"173201","Transferências de Convênios dos Municípios e de Suas Entidades para Ór"
"173900","Outras Transferências dos Municípios                                  "
"193102","Alienação de Bens Apreendidos                                         "
"712198","Taxas de Inspeção, Controle e Fiscalização - Outras                   "
"721502","Contribuição Patronal - Servidor Civil                                "
"792399","Outros Ressarcimentos                                                 "
"721550","Contribuição Patronal - Servidor Civil Inativo e Pensionistas         "
"244199","Outras Transferências de Instituições Privadas                        "
"246199","Outras Transferências do Exterior                                     "
"249150","Transferências de Pessoas Físicas para Programas de Saúde             "
"249151","Transferências de Pessoas Físicas para Programas de Educação          "
"171960","Transferências da Política Nacional Aldir Blanc de Fomento à Cultura -"
"131002","Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens "
"199901","Aportes Periódicos para Amortização de Déficit Atuarial do RPPS       "
"173999","Outras Transferências dos Municípios                                  "
"172499","Outras Transferências de Convênios dos Estados e DF e de Suas Entidade"
"174199","Outras Transferências de Convênios de Instituições Privadas           "
"242250","Transferências de Convênios dos Estados para o Sistema Único de Saúde "
"175150","Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da"
"175900","Demais Transferências de Outras Instituições Públicasda               "
"179201","Transferências Provenientes de Depósitos Não Identificados            "
"172251","Cota-parte da Compensação Financeira de Recursos Minerais - CFEM      "
"293101","Remuneração das Disponibilidades do Tesouro                           "
