"COALINEA","NOALINEA"
"112151","Taxa de Saúde Suplementar                                             "
"113150","Contribuição de Melhoria para Expansão da Rede de Água Potável e Esgot"
"290000","Outras Receitas de Capital                                            "
"133203","Delegação para Exploração da Infraestrutura de Transporte Aquaviário  "
"170000","Transferências Correntes                                              "
"171000","Transferências da União e de suas Entidades                           "
"720000","Contribuições                                                         "
"761000","Serviços Administrativos e Comerciais Gerais                          "
"112104","Taxa de Controle e Fiscalização Ambiental                             "
"112105","Taxa de Controle e Fiscalização da Pesca e Aquicultura                "
"133204","Delegação para Exploração da Infraestrutura Aeroportuária             "
"112101","Taxas de Inspeção, Controle e Fiscalização                            "
"221200","Alienação de Estoques                                                 "
"221201","Alienação de Estoques da Política de Garantia de Preços Mínimos - PGPM"
"243000","Transferências dos Municípios e de suas Entidades                     "
"134400","Exploração de Recursos Minerais                                       "
"192301","Ressarcimento por Operadoras de Seguros Privados de Assistência a Saúd"
"192302","Ressarcimento de Custos                                               "
"192303","Reversão de Garantias                                                 "
"111200","Impostos sobre o Patrimônio                                           "
"134999","Outras Delegações para Exploração de Recursos Naturais                "
"134900","Exploração de Outros Recursos Naturais                                "
"134901","Compensações Ambientais                                               "
"192200","Restituições                                                          "
"192201","Restituição de Convênios                                              "
"293000","Remuneração das Disponibilidades do Tesouro                           "
"192206","Restituição de Despesas de Exercícios Anteriores                      "
"134102","Royalties Mínimos pela Produção de Petróleo - Contrato de Concessão   "
"164000","Serviços e Atividades Financeiras                                     "
"111900","Outros Impostos                                                       "
"291000","Integralização de Capital Social                                      "
"130000","Receita Patrimonial                                                   "
"131000","Exploração do Patrimônio Imobiliário do Estado                        "
"121601","Contribuição para Fundos de Assistência Médico-Hospitalar e Social    "
"299000","Demais Receitas de Capital                                            "
"192100","Indenizações                                                          "
"192101","Indenizações por Danos Causados ao Patrimônio Público                 "
"192102","Indenização por Posse ou Ocupação Ilícita de Bens Públicos            "
"192203","Restituição de Benefícios Previdenciários                             "
"192204","Restituição de Benefícios Assistenciais                               "
"192205","Restituição de Contribuições Previdenciárias Complementares           "
"200000","Receitas de Capital                                                   "
"211000","Operações de Crédito - Mercado Interno                                "
"244000","Transferências de Instituições Privadas                               "
"112103","Taxa de Controle e Fiscalização de Produtos Químicos                  "
"294000","Resgate de Títulos do Tesouro                                         "
"192103","Indenização por Sinistro                                              "
"150000","Receita Industrial                                                    "
"140000","Receita Agropecuária                                                  "
"193000","Bens, Direitos e Valores Incorporados ao Patrimônio Público           "
"139000","Demais Receitas Patrimoniais                                          "
"192202","Restituição de Benefícios Não Desembolsados                           "
"174000","Transferências de Instituições Privadas                               "
"175000","Transferências de Outras Instituições Públicas                        "
"132300","Participações                                                         "
"132900","Outros Valores Mobiliários                                            "
"241000","Transferências da União e de suas Entidades                           "
"112000","Taxas                                                                 "
"112102","Taxas de Fiscalização das Telecomunicações                            "
"132100","Juros e Correções Monetárias                                          "
"133300","Delegação dos Serviços de Telecomunicação                             "
"100000","Receitas Correntes                                                    "
"112800","Taxas - Específicas de Estados, DF e Municípios                       "
"246000","Transferências do Exterior                                            "
"721000","Contribuições Sociais                                                 "
"762000","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"169000","Outros Serviços                                                       "
"110000","Impostos, Taxas e Contribuições de Melhoria                           "
"163000","Serviços e Atividades Referentes à Saúde                              "
"712200","Taxas pela Prestação de Serviços                                      "
"132200","Dividendos                                                            "
"210000","Operações de Crédito                                                  "
"192299","Outras Restituições                                                   "
"192300","Ressarcimentos                                                        "
"133000","Delegação de Serviços Públicos Mediante Concessão, Permissão, Autoriza"
"120000","Contribuições                                                         "
"121000","Contribuições Sociais                                                 "
"192000","Indenizações, Restituições e Ressarcimentos                           "
"133100","Delegação para a Prestação dos Serviços de Transporte                 "
"133101","Delegação para a Prestação dos Serviços de Transporte Rodoviário      "
"121501","Contribuição Servidor Civil                                           "
"111000","Impostos                                                              "
"730000","Receita Patrimonial                                                   "
"731000","Exploração do Patrimônio Imobiliário do Estado                        "
"132000","Valores Mobiliários                                                   "
"199000","Demais Receitas Correntes                                             "
"192199","Outras Indenizações                                                   "
"192399","Outros Ressarcimentos                                                 "
"176000","Transferências do Exterior                                            "
"133202","Delegação para Exploração da Infraestrutura de Transporte Ferroviário "
"221202","Alienação de Estoques Comerciais Destinados a Programas Sociais       "
"112100","Taxas pelo Exercício do Poder de Polícia                              "
"192210","Restituição Decorrente da Não Aplicação de Incentivos Fiscais         "
"199099","Demais Receitas Correntes                                             "
"111303","Imposto sobre a Renda - Retido na Fonte                               "
"121603","Contribuição para Fundos de Assistência Médico-Hospitalar e Social    "
"211200","Operações de Crédito Contratuais - Mercado Interno                    "
"220000","Alienação de Bens                                                     "
"221000","Alienação de Bens Móveis                                              "
"792200","Restituições                                                          "
"791000","Multas Administrativas, Contratuais e Judiciais                       "
"134301","Outorga dos Serviços de Exploração e Produção de Petróleo e Gás Natura"
"134302","Royalties pela Produção de Petróleo - Partilha de Produção - Declaraçã"
"242000","Transferências dos Estados e do Distrito Federal e de suas Entidades  "
"134602","Concessão de Florestas Não Catalogadas como ¿Florestas Nacionais¿     "
"212900","Outras Operações de Crédito - Mercado Externo                         "
"121500","Contribuições para  Regimes Próprios de Previdência e Sistema de Prote"
"121600","Contribuição para Fundos de Assistência Médico-Hospitalar e Social    "
"121602","Contribuição para Fundos de Assistência Médico-Hospitalar e Social    "
"211900","Outras Operações de Crédito - Mercado Interno                         "
"212000","Operações de Crédito - Mercado Externo                                "
"171253","Cota-parte do bônus de assinatura de contrato de partilha de produção "
"211201","Operações de Crédito Contratuais - Mercado Interno                    "
"121401","Contribuição Previdenciária Empregador                                "
"770000","Transferências Correntes Intra Orçamentária                           "
"792000","Indenizações, Restituições e Ressarcimentos                           "
"792201","Restituição de Convênios                                              "
"711000","Impostos Intra                                                        "
"760000","Receita de Serviços                                                   "
"223000","Alienação de Bens Intangíveis                                         "
"121201","Contribuição para o PIS/PASEP - Contribuintes Não Optantes pelo Simple"
"230000","Amortização de Empréstimos                                            "
"135000","Exploração do Patrimônio Intangível                                   "
"190000","Outras Receitas Correntes                                             "
"191000","Multas Administrativas, Contratuais e Judiciais                       "
"134503","Compensação Financeira com a Exploração de Recursos Hídricos          "
"162000","Serviços e Atividades Referentes à Navegação e ao Transporte          "
"133102","Delegação para a Prestação dos Serviços de Transporte Ferroviário     "
"112202","Emolumentos e Custas Judiciais                                        "
"700000","Receitas Correntes Intra Orçamentária                                 "
"192304","Ressarcimento ao Regime Geral de Previdência Social - RGPS            "
"111201","Imposto sobre a Propriedade Territorial Rural                         "
"211800","Empréstimos Compulsórios                                              "
"123000","Contribuições para Entidades Privadas de Serviço Social e de Formação "
"124000","Contribuição para o Custeio do Serviço de Iluminação Pública          "
"121700","Contribuições sobre Concursos de Prognósticos e Sorteios              "
"999000","Recursos Arrecadados em Exercícios Anteriores                         "
"160000","Receita de Serviços                                                   "
"161000","Serviços Administrativos e Comerciais Gerais                          "
"192211","Restituição Decorrente da Aplicação Irregular de Recursos Eleitorais  "
"133200","Delegação dos Serviços de Infraestrutura                              "
"133201","Delegação para Exploração da Infraestrutura de Transporte Rodoviário  "
"221203","Alienação de Estoques do Programa de Aquisição de Alimentos - PAA     "
"221204","Alienação de Estoques de Café - FUNCAFÉ                               "
"712100","Taxas pelo Exercício do Poder de Polícia                              "
"712101","Taxas de Inspeção, Controle e Fiscalização                            "
"769000","Outros Serviços                                                       "
"211801","Empréstimos Compulsórios                                              "
"113153","Contribuição de Melhoria para Pavimentação e Obras Complementares     "
"171954","Transferências de Recursos do Fundo Nacional de Segurança Pública - FN"
"211251","Operações de Crédito Internas para Programas de Saúde                 "
"211254","Operações de Crédito Internas para Programas de Modernização da Admini"
"721501","Contribuição do Servidor Civil                                        "
"772401","Transferência de Convênios dos Estados e do Distrito Federal e de Suas"
"241151","Transferências de Recursos do Sistema Único de Saúde ¿ SUS - Fundo a F"
"221300","Alienação de Bens Móveis e Semoventes                                 "
"222000","Alienação de Bens Imóveis                                             "
"192207","Restituição de Parcelas do Seguro Desemprego Recebidas Indevidamente  "
"245000","Transferências de Outras Instituições Públicas                        "
"240000","Transferências de Capital                                             "
"212200","Operações de Crédito Contratuais - Mercado Externo                    "
