"COFONTE","NOFONTE","INTIPOFONTE","INFONTETESOURO","INSTATUS","ULTALTERACAO","TXDESCRICAO","INDESTINACAO","COFONTEFEDERAL"
332002528,"CONV. 000550/99 - GDF/FHDF/MS - 338362            ","9","N",0,"20241218130916 03589980184","AQUISIÇÃO DE EQUIPAMENTOS PARA IMPLANTAÇÃO DA REDE DE FRIOS.                                                                                                                                                                                              ",2,2700
332002531,"CONV. 000008/99 - GDF/SES/FNS-MS - 1910981        ","9","N",0,"20241218130925 03589980184","GDF/SE/AVNF-PROVISA                                                                                                                                                                                                                                       ",2,2700
321002561,"CONV. 001539/99 - GDF/SES/FNS/MS - 33806-0        ","9","N",0,"20241210144606 03589980184","IMPLANTAÇÃO DE UTI NO HOSPITAL REGIONAL DE CEILÂNDIA/DF.                                                                                                                                                                                                  ",2,2700
321002563,"CONV. 002563/00 - GDF/FHDF/CLR - 191099-X         ","9","N",0,"20241210144650 03589980184","ASSISTENCIA FINANCEIRA GRATUITA PARA O PROGRAMA DE DOACAO DE EQUIPAMENTO AO HRT.                                                                                                                                                                          ",2,2700
321002590,"CONV. 000367/99 - GDF/FHDF/FNS/MS - 1910736       ","9","N",0,"20241210144717 03589980184","CONTROLE INTERNACIONAL DE DROGAS - UNDCP.                                                                                                                                                                                                                 ",2,2700
321002597,"CONV. 000519/99 - GDF/SES/FNS/MS - 5371-6         ","9","N",0,"20241210144728 03589980184","AÇÕES DE VIGILÂNCIA EM SAÚDE NO DF - PROJETO VIGISUS.                                                                                                                                                                                                     ",2,2700
321002598,"CONV. 002491/99 - GDF/SES/FNS/MS - 5306-6         ","9","N",0,"20241210144739 03589980184","AÇÕES DE CONTROLE DA HANSENÍASE E DOENÇAS CRÔNICA NÃO TRANSMISSÍVEIS.                                                                                                                                                                                     ",2,2700
321002599,"CONV. 002098/99 - GDF/SES/FNS/MS - 33851-6        ","9","N",0,"20241210144753 03589980184","CONSTRUÇÃO E EQUIPAMENTO DE HOSPITAL EM SAMAMBAIA/DF.                                                                                                                                                                                                     ",2,2700
321002600,"CONV. 002095/99 - GDF/SES/FNS/MS - 33850-8        ","9","N",0,"20241210144803 03589980184","CONSTRUÇÃO E EQUIPAMENTO DE HOSPITAL EM SANTA MARIA.                                                                                                                                                                                                      ",2,2700
321002641,"CONV. 000515/99 - GDF/SES/FNS/MS - 5434-8         ","9","N",0,"20241210144944 03589980184","ESTRUTURAÇÃO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE NO DISTRITO FEDERAL.                                                                                                                                                                                        ",2,2700
332001767,"CONV. 000246/97 - GDF/FHDF/FNS/MS - 1908782       ","9","N",0,"20241218130234 03589980184","CONVENIO CELEBRADO ENTRE A FNS E A FHDF OBJETIVANDO IMPLANTAR O PLANO EMERGENCIAL DE COMBATE A TUBERCULOSE NO DF.                                                                                                                                         ",2,2700
332001778,"CONV. 000381/97 - GDF/SES/FNS/MS - 190879-0       ","9","N",0,"20241218130256 03589980184","INSTALAÇÃO DO PÓLO DE CAPACITAÇÃO, FORMAÇÃO E EDUCAÇÃO PERMANENTE.                                                                                                                                                                                        ",2,2700
332001971,"CONV. 002297/97 - GDF/SES/FNS-MS - 1909487        ","9","N",0,"20241218130323 03589980184","DESENVOLVIMENTO DO PROGRAMA REFERENTE AO PLANO DE CONTROLE DO TEBAGISMO E OUTROS FATORES DE RISCO DO CANCER.                                                                                                                                              ",2,2700
332002014,"CONV. 000295/98 - GDF/ISDF/FNS/LAC - 1908952      ","9","N",0,"20220805170627 99999999999","CONVÊNIO 295/98-FNS/ISDF/LAC C/C 190895-2                                                                                                                                                                                                                 ",2,2700
332002015,"CONV. 000361/98 - GDF/ISDF/FNS/MS - 1909126       ","9","N",0,"20220805170627 99999999999","CONVÊNIO 361/FNS/ISDF/MS - C/C 190612-6                                                                                                                                                                                                                   ",2,2700
332002045,"CONV. 001113/98 - GDF/ISDF/FNS - 001-1909444      ","9","N",0,"20220805170627 99999999999","CONVÊNIO 1113/98-FNS/ISDF C/C 001-1909444                                                                                                                                                                                                                 ",2,2700
332002874,"CONV. 000013/01 - GDF/SSP/SENAD CM/PR - 1911627   ","9","N",0,"20241218132841 03589980184","IMPLANTAÇÃO DOS CONSELHOS NACIONAIS ANTIDROGAS NAS CIDADES DO ENTORNO E ELA-  BORÇÃO DE PROGRAMA PREVENTIVO.                                                                                                                                              ",2,2700
321002874,"CONV. 000013/01 - GDF/SSP/SENAD CM/PR - 1911627   ","9","N",0,"20241210145838 03589980184","IMPLANTAÇÃO DOS CONSELHOS MUNICIPAIS ANTIDROGAS NAS CIDADES DO ENTORNO E ELA-  BORAÇÃO DE PROGRAMA PREVENTIVO.                                                                                                                                            ",2,2700
321002866,"CONV. 000012/01 - GDF/SSP/MJ - 1911740            ","9","N",0,"20241210145755 03589980184","INRENSIFICAÇÃO DO POLICIAMENTO OSTENSIVO EM ÁREAS CRÍTICAS.                                                                                                                                                                                               ",2,2700
332002914,"CONV. 000169/01 - GDF/SSP/MJ - 1911570            ","9","N",0,"20241218132926 03589980184","PROGRAMA DE CAPACITAÇÃO DE AGENTES PENITENCIÁRIOS NO DISTRITO FEDERAL.                                                                                                                                                                                    ",2,2700
332002865,"CONV. 000013/01 - GDF/SSP/MJ - 1911759            ","9","N",0,"20241218132805 03589980184","IMPLANTAÇÃO DA POLICIA COMUNITÁRIA.                                                                                                                                                                                                                       ",2,2700
321002914,"CONV. 000169/01 - GDF/SSP/MJ - 1911570            ","9","N",0,"20241210145952 03589980184","PROGRAMA DE CAPACITAÇÃO DE AGENTES PENITENCIÁRIOS NO DISTRITO FEDERAL.                                                                                                                                                                                    ",2,2700
321000286,"CONV. 000013/01 - GDF/SSP/MJ - 1911759            ","9","N",0,"20220805170627 99999999999","IMPLANTAÇÃO DA POLICIA COMUNITÁRIA.                                                                                                                                                                                                                       ",2,2700
